Week 1
0,1,2,3
4,5,8,20
9,10,11,12
13,14,16,18
19,21,23,6
Week 2
7,9,15,3
2,8,10,13
11,14,6,18
12,16,17,19
20,21,22,0
Week 3
4,7,11,22
5,14,15,20
3,12,18,1
16,2,8,21
17,23,9,6
Week 4
0,4,10,14
1,5,12,13
2,6,15,17
3,7,8,19
18,21,22,23
Week 5
0,5,11,6
1,10,19,16
4,9,13,15
12,14,20,22
17,18,23,7
Week 6
0,13,17,20
1,8,9,21
2,4,16,22
3,5,10,23
7,11,15,19
Week 7
0,12,22,9
5,15,18,21
2,11,13,1
3,16,17,8
10,19,20,23
Week 8
7,10,21,12
0,15,23,16
3,6,13,22
4,11,17,20
2,9,14,19
Week 9
0,4,18,19
1,14,23,8
2,5,7,17
12,15,21,13
9,16,20,6
Week 10
1,10,15,22
2,4,12,23
6,8,18,0
3,21,9,11
7,14,16,5
Week 11
1,14,17,11
5,19,22,8
0,7,13,23
2,3,18,20
4,6,10,16
Week 12
3,4,14,21
10,18,9,5
1,20,7,6
13,19,22,17
8,11,12,15
