Week 1
5,33,32,1
4,6,8,31
9,10,11,12
13,14,16,18
19,20,21,23
24,26,27,30
34,2,0,3
Week 2
5,7,0,9
1,6,14,30
2,8,15,16
3,19,20,34
22,24,25,18
21,27,28,29
31,33,10,17
Week 3
13,30,25,9
2,6,7,11
3,8,14,29
12,15,17,20
16,21,22,26
23,24,28,31
32,0,4,10
Week 4
1,4,7,12
2,5,13,17
3,11,15,21
18,22,23,32
9,16,19,24
25,26,28,33
27,34,8,29
Week 5
0,6,12,18
1,5,11,19
4,14,15,22
7,10,17,23
13,20,26,29
25,27,28,31
30,32,33,34
Week 6
0,8,17,21
2,4,20,33
3,5,10,16
13,19,32,6
7,14,25,34
12,22,29,9
23,26,30,15
Week 7
1,8,13,24
2,10,18,21
3,4,23,25
5,12,28,30
6,9,17,22
7,15,27,33
11,29,31,32
Week 8
0,11,14,20
1,9,15,23
2,12,19,25
4,16,17,27
5,21,24,32
26,28,34,18
29,30,31,33
Week 9
0,19,22,27
1,16,20,28
6,34,23,8
5,14,26,31
7,13,21,30
10,11,25,24
9,17,18,3
Week 10
0,15,24,29
2,14,28,32
3,7,20,31
4,11,18,26
1,10,22,34
8,12,13,27
6,16,19,33
Week 11
3,13,22,28
0,16,23,25
1,4,21,31
5,15,18,34
8,10,19,26
14,17,24,29
2,9,27,32
Week 12
11,13,23,33
5,6,20,27
7,12,16,32
10,15,28,30
2,22,31,0
4,9,24,34
1,14,17,18
Week 13
4,7,19,29
6,21,25,15
8,18,20,30
11,16,17,34
0,1,26,33
12,24,31,3
13,14,10,9
Week 14
1,2,29,25
12,14,21,33
3,6,26,32
4,11,22,30
7,8,28,5
13,31,15,19
20,24,27,23
Week 15
10,20,32,25
2,12,26,23
3,18,27,33
5,6,29,16
17,19,30,0
9,11,28,8
21,22,34,7
