Week 1
0,1,2,3
4,5,6,9
10,11,12,13
14,16,18,19
Week 2
0,4,7,8
1,6,10,14
3,11,15,16
12,13,17,18
Week 3
0,5,10,15
1,4,11,17
2,7,9,14
3,8,16,19
Week 4
0,6,12,16
2,4,10,18
5,7,13,19
8,9,15,17
Week 5
1,5,8,12
2,6,11,19
3,7,9,18
13,14,15,17
Week 6
1,9,13,16
3,4,5,14
0,6,8,18
2,7,10,19
Week 7
2,4,12,15
3,6,10,17
0,5,9,11
1,8,13,18
Week 8
2,5,16,17
1,6,7,15
0,4,13,19
3,11,12,14
Week 9
9,10,12,19
2,8,11,14
3,5,15,18
6,7,16,17
Week 10
0,1,17,19
4,8,10,16
7,11,12,18
9,13,14,15
Week 11
0,7,12,14
1,4,15,19
5,8,11,13
9,16,17,18
Week 12
2,3,6,13
0,10,11,15
5,12,17,19
1,7,8,18
Week 13
0,2,13,16
1,3,9,10
4,5,6,14
7,15,17,19
Week 14
2,8,9,12
0,3,4,17
5,10,14,16
6,11,13,18
Week 15
4,7,11,16
3,6,8,19
1,2,12,15
9,10,14,18
