Week 1
0,4,5,14
6,9,10,12
13,16,18,3
Week 2
1,3,7,19
4,10,11,17
12,15,2,8
Week 3
0,1,9,11
2,5,13,15
14,16,17,19
Week 4
0,6,7,8
4,10,13,19
12,14,16,18
Week 5
1,6,17,8
2,9,18,5
3,7,11,15
Week 6
2,10,14,8
1,13,16,0
6,7,9,18
Week 7
2,6,11,19
1,4,9,15
3,5,12,17
Week 8
7,12,13,4
3,14,15,0
5,16,17,19
Week 9
3,18,6,12
2,7,10,17
5,11,8,19
Week 10
0,10,15,16
9,11,13,14
1,4,8,18
Week 11
0,11,17,18
4,5,7,16
1,13,15,19
Week 12
5,8,9,14
0,2,12,19
3,6,10,11
Week 13
2,3,9,16
1,7,10,14
4,6,15,17
Week 14
5,10,13,18
2,4,6,14
0,8,9,12
Week 15
3,8,13,17
1,11,12,16
7,15,18,19
