Week 1
39,8,10,12
7,38,0,5
9,11,36,34
13,14,16,41
18,19,20,21
23,24,26,27
31,32,33,2
35,37,3,30
1,6,40,4
Week 2
0,8,32,15
1,7,9,13
2,10,14,35
3,11,17,18
20,22,23,25
21,24,28,29
26,30,34,38
27,31,40,33
36,37,4,12
Week 3
5,9,15,40
13,36,38,29
6,8,37,11
7,10,12,17
18,22,24,30
19,23,28,32
21,25,26,35
34,2,41,4
0,3,16,39
Week 4
10,18,0,6
1,14,17,27
2,12,19,40
3,7,20,41
11,16,22,38
25,30,36,28
26,29,31,37
33,34,35,15
4,39,5,21
Week 5
0,14,19,29
1,5,8,20
2,6,9,17
3,4,10,21
12,15,22,26
13,23,30,11
16,24,25,31
27,28,33,39
32,36,37,41
Week 6
6,12,21,41
3,5,13,22
7,8,14,18
9,16,19,27
10,20,24,32
15,17,23,31
25,29,33,38
28,34,37,40
35,36,39,1
Week 7
7,16,23,40
1,15,24,38
2,8,22,27
4,9,18,25
5,14,26,28
6,13,19,31
17,20,29,35
30,32,34,39
33,41,11,0
Week 8
10,16,26,40
2,7,21,30
3,9,12,23
4,15,19,29
5,11,25,32
6,14,22,35
8,13,24,36
28,31,1,41
37,39,27,38
Week 9
0,13,26,40
1,18,23,33
2,16,20,28
3,14,24,34
6,11,27,29
7,19,22,36
12,32,35,38
10,15,30,37
31,39,41,17
Week 10
0,20,27,34
1,22,29,32
4,16,30,35
5,10,23,36
6,15,25,39
8,17,21,33
7,9,24,37
11,12,18,31
3,38,40,41
Week 11
0,21,31,36
1,25,34,10
2,18,26,39
4,22,28,12
5,16,17,37
9,14,20,30
7,8,29,40
3,13,33,19
11,15,24,41
Week 12
4,20,26,33
5,18,27,41
7,11,28,35
9,21,32,40
17,19,24,38
0,2,25,37
6,8,23,34
10,13,22,39
3,14,15,36
Week 13
8,19,26,41
9,22,31,34
13,15,18,28
14,21,23,38
0,1,30,12
4,7,27,32
6,20,36,16
2,5,29,33
17,25,35,40
Week 14
21,27,37,1
0,4,24,17
3,6,26,32
16,18,29,34
2,23,35,13
5,8,30,31
9,10,28,38
12,14,25,33
11,19,20,39
