Week 1
5,0,30,38
10,13,40,6
14,16,18,20
21,23,24,26
27,31,32,42
35,37,3,4
41,43,33,12
Week 2
34,36,2,1
8,9,10,11
12,15,16,17
19,22,24,7
25,26,28,29
30,35,6,43
32,39,40,20
Week 3
38,41,4,19
3,7,14,34
18,36,39,13
5,17,21,22
25,27,33,9
28,31,37,15
42,0,2,8
Week 4
1,9,20,35
6,11,14,38
10,22,23,43
13,24,27,28
29,30,33,39
31,34,40,5
36,37,0,25
Week 5
3,12,18,5
2,4,11,16
7,13,15,42
14,17,19,23
21,28,32,8
20,24,29,41
26,39,43,1
Week 6
12,37,27,34
1,4,17,25
2,3,15,21
8,16,19,26
18,22,29,0
23,30,40,7
35,36,42,11
Week 7
0,17,27,41
1,5,10,19
2,9,22,31
7,21,33,38
13,14,25,32
23,37,39,6
40,42,43,4
Week 8
0,10,15,24
3,6,16,28
7,8,17,18
9,12,26,30
11,20,31,33
29,32,36,38
34,35,39,41
Week 9
12,14,24,42
3,11,13,19
6,8,15,20
16,21,25,30
22,26,32,33
23,27,29,35
37,38,43,2
Week 10
0,16,23,31
11,18,24,40
2,5,25,35
3,10,33,36
4,9,13,34
12,28,38,39
37,41,42,1
Week 11
1,14,15,22
4,6,26,31
5,8,27,36
7,10,20,28
9,17,29,40
19,21,34,43
18,30,32,41
