Week 1
5,38,43,3
12,14,26,41
16,18,20,21
23,24,27,6
31,32,33,4
35,37,40,0
44,45,13,30
Week 2
5,7,46,48
9,10,11,39
17,19,21,38
22,23,25,28
27,29,34,35
36,41,8,15
42,47,1,2
Week 3
3,26,45,2
7,9,15,30
16,24,25,43
11,18,28,44
20,34,39,4
31,40,47,10
32,48,8,12
Week 4
0,1,6,8
9,13,17,22
10,15,23,43
19,24,29,31
21,33,34,36
37,42,25,14
38,40,45,46
Week 5
2,11,13,35
1,4,12,16
18,27,39,46
19,20,22,26
28,29,32,36
42,44,0,5
37,41,47,17
Week 6
0,7,12,17
1,3,9,14
2,6,15,18
5,11,19,23
20,24,33,40
21,26,29,30
25,41,44,48
Week 7
7,10,3,36
4,8,13,27
14,30,43,39
28,31,34,37
32,35,46,6
33,45,47,22
38,42,48,16
Week 8
16,26,44,31
3,15,20,47
4,17,28,46
8,25,30,34
36,0,9,24
32,38,7,11
33,35,39,41
Week 9
13,18,37,43
2,4,14,19
5,6,20,29
7,21,22,27
12,23,35,45
39,40,48,1
41,42,46,10
Week 10
0,10,19,27
1,15,24,32
3,13,16,23
8,18,29,38
9,12,25,31
26,28,40,42
36,43,45,48
Week 11
2,9,20,23
5,8,21,47
6,11,16,17
7,13,29,33
22,30,35,36
32,37,39,45
34,38,44,14
Week 12
0,15,22,31
1,17,25,26
18,24,30,42
4,6,21,37
5,10,12,34
27,40,41,3
43,44,46,47
Week 13
2,17,29,44
3,19,25,32
4,11,30,41
9,27,28,33
14,20,35,48
15,34,42,45
12,36,46,37
Week 14
0,14,18,33
1,11,21,31
2,10,22,38
5,13,24,39
6,19,28,43
7,8,16,40
23,26,47,48
