Week 1
5,40,6,31
12,13,14,38
16,18,20,21
23,24,27,30
32,33,35,0
37,41,3,4
Week 2
1,2,7,34
8,9,10,11
12,15,17,30
13,19,22,25
26,28,29,18
31,36,39,3
Week 3
37,6,11,29
7,10,16,41
21,22,23,34
24,25,26,32
35,9,39,2
38,40,0,17
Week 4
8,14,0,36
2,4,11,15
3,16,19,27
5,17,20,28
29,33,40,39
30,31,41,1
Week 5
4,6,10,19
5,7,9,12
13,15,20,23
14,21,24,1
22,26,27,33
28,32,36,37
Week 6
3,8,12,21
5,10,13,18
7,22,36,40
9,30,33,37
31,32,34,38
35,25,15,29
Week 7
0,16,24,39
1,17,19,23
2,18,25,27
4,14,20,26
6,28,34,8
35,38,41,11
Week 8
2,10,12,22
3,9,13,24
4,8,29,38
11,14,25,28
21,30,32,40
31,37,7,27
Week 9
0,15,19,26
1,5,27,38
6,16,22,35
17,24,33,34
18,23,36,11
20,39,40,41
Week 10
0,7,18,30
9,16,29,34
3,6,17,41
4,12,23,31
8,20,35,1
21,37,39,25
Week 11
0,10,25,31
1,13,26,36
2,16,33,5
7,11,19,32
15,24,28,41
17,18,14,39
Week 12
2,19,20,29
3,10,14,32
4,21,28,33
5,8,30,22
27,36,6,15
34,35,37,40
Week 13
2,13,17,40
6,7,23,26
9,15,31,21
12,19,28,35
18,22,24,38
25,33,36,41
Week 14
0,12,20,27
3,11,26,34
4,9,32,1
8,13,16,37
10,30,38,39
5,14,23,29
