Week 1
2,3,26,31
4,5,6,7
8,9,10,11
12,13,14,16
17,18,19,20
21,22,23,24
27,0,1,30
Week 2
0,4,8,12
1,5,9,13
2,6,10,15
3,11,17,21
18,22,25,27
19,23,28,29
20,24,30,31
Week 3
0,10,14,24
1,4,11,15
2,7,13,31
6,12,18,23
20,22,9,26
25,28,30,16
27,29,5,8
Week 4
11,13,19,30
7,10,18,28
4,9,14,25
5,15,16,17
21,26,12,1
22,29,0,6
20,23,27,3
Week 5
7,9,15,12
1,8,14,17
2,4,16,18
3,5,19,22
10,13,21,25
11,28,31,0
24,26,27,29
Week 6
0,16,19,21
1,6,20,28
2,5,11,23
3,7,24,30
8,15,25,26
10,12,17,27
14,29,31,18
Week 7
0,17,23,26
2,9,19,24
3,6,8,16
4,13,20,29
7,21,27,28
5,12,25,31
15,22,30,14
Week 8
1,16,23,31
2,17,25,29
4,10,19,26
3,13,15,18
6,21,30,9
7,11,14,20
22,24,28,8
