Week 1
1,3,33,22
5,6,7,34
9,11,32,8
12,13,16,0
17,18,19,20
21,23,24,2
27,30,31,10
35,4,26,14
Week 2
8,33,4,13
14,1,34,2
6,10,15,32
7,16,17,21
18,23,25,26
19,24,27,28
20,29,0,30
31,35,5,9
Week 3
10,12,23,34
1,4,11,15
2,8,28,30
3,6,16,18
17,22,25,14
19,21,29,31
24,33,5,0
32,35,7,20
Week 4
0,6,9,17
1,7,10,28
2,5,11,16
3,8,12,15
14,18,27,33
20,22,26,34
24,25,29,35
30,32,13,21
Week 5
0,11,18,22
1,8,16,19
2,4,9,12
3,5,13,17
10,20,21,25
15,23,27,29
24,26,28,31
30,33,34,35
Week 6
0,7,15,19
1,6,12,20
3,10,14,24
5,8,21,26
9,13,22,27
11,17,23,31
25,32,4,29
28,33,35,16
Week 7
0,14,23,28
1,17,24,30
2,13,18,29
3,7,9,25
4,16,22,31
6,11,19,26
5,12,27,32
15,21,33,34
Week 8
2,17,26,32
3,11,20,27
4,18,28,34
5,15,22,30
6,8,23,35
12,19,25,33
9,10,16,29
7,13,14,31
Week 9
0,25,27,34
1,18,31,32
2,19,22,35
6,13,21,28
7,11,12,24
3,4,23,30
9,14,15,20
8,10,26,29
