,,,Basic Facts,,,,,Vitamins,,,,,,,,,,,,,,,,Healthy Fats,,,,,,Minerals,,,,,,,,,,,Phytonutrients,,,,,,AA and Peps,
Item,Category,Serving Size,Cals,Protein,Fats,Carbs,Fiber,Vit A,Vit B1,Vit B2,Vit B3,Vit B5,Vit B6,Vit B7,Vit B9,Vit B12,Vit C,Vit D,Vit E,Vit K,Choline,Myo-Inositol,CoQ10,MUFA,ALA,EPA+DHA,CLA,Lin Acid,MCTs,Ca,Cu,Io,Fe,Mg,Mn,P,K,Se,Na,Zn,Carotenoids,Polyphenols,Phytosterols,Glucosinolates,Thiosulfinates,Betalains,Taurine,Ergothionine
"Bluefin tuna, raw",Fish,4 ounces (115 grams),166,26.8,5.6,0,0,84%,23%,22%,62%,24%,31%,10%,1%,452%,0%,33%,8%,0%,14%,17.3 mg,0.6 mg,1.8 g,0.0 mg,1349.0 mg,1.7 mg,0.1 g,0.0 g,1%,11%,12%,7%,14%,1%,23%,6%,76%,2%,6%,0.0 μg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,381.8 mg,0.0 mg
"Eastern oyster, wild, raw",Fish,4 ounces (115 grams),59,6.6,2,3.1,0,2%,2%,8%,7%,5%,2%,157%,2%,419%,0%,0%,7%,1%,14%,28.8 mg,0.5 mg,0.3 g,96.6 mg,360.0 mg,0.8 mg,0.0 g,0.0 g,5%,365%,46%,29%,5%,15%,9%,4%,41%,4%,411%,0.0 μg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,456.2 mg,0.0 mg
"Pacific oyster, raw",Fish,4 ounces (115 grams),93,10.9,2.6,5.7,0,10%,6%,21%,14%,12%,3%,157%,3%,767%,10%,6%,7%,1%,0%,28.8 mg,0.5 mg,0.4 g,36.8 mg,791.2 mg,1.1 mg,0.0 g,0.0 g,1%,201%,48%,33%,6%,32%,15%,4%,161%,5%,174%,0.0 μg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,456.2 mg,0.0 mg
"Atlantic salmon, wild, raw",Fish,4 ounces (115 grams),163,22.8,7.3,0,0,2%,22%,34%,56%,38%,55%,39%,7%,152%,0%,52%,6%,0%,23%,0.0 mg,0.9 mg,2.4 g,339.3 mg,1651.4 mg,2.2 mg,0.2 g,0.0 g,1%,32%,23%,5%,8%,1%,18%,12%,76%,2%,7%,1150.0 μg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,69.0 mg,0.0 mg
"Norther lobster, raw",Fish,4 ounces (115 grams),89,19,0.9,0,0,0%,2%,1%,11%,33%,7%,19%,3%,60%,0%,0%,7%,0%,15%,0.0 mg,0.3 mg,0.3 g,49.5 mg,195.5 mg,0.3 mg,0.0 g,0.0 g,7%,172%,80%,2%,10%,3%,15%,5%,133%,21%,37%,0.0 μg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,319.7 mg,0.0 mg
"Spiny lobster, raw",Fish,4 ounces (115 grams),129,23.7,1.7,2.8,0,1%,1%,4%,31%,8%,10%,19%,0%,168%,3%,0%,7%,0%,15%,0.0 mg,0.3 mg,0.3 g,9.2 mg,429.0 mg,0.5 mg,0.0 g,0.0 g,4%,49%,537%,8%,11%,1%,22%,4%,97%,9%,59%,0.0 μg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,319.7 mg,0.0 mg
"Lemon, raw",Fruit,1 cup (212 grams),61,2.3,0.6,13.8,5.9,0%,7%,3%,1%,8%,10%,8%,6%,0%,125%,0%,2%,0%,2%,63.6 mg,0.0 mg,0.0 g,55.1 mg,0.0 mg,0.0 mg,0.1 g,0.0 g,4%,9%,0%,7%,4%,3%,3%,6%,2%,0%,1%,74.2 μg,347.7 mg,38.2 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"California avocado, raw",Fruit,1/4 cup or 1/2 fruit (68 grams),114,1.3,10.5,1.3,4.6,1%,4%,7%,8%,20%,11%,23%,15%,0%,7%,0%,11%,12%,2%,31.3 mg,0.6 mg,6.7 g,85.0 mg,0.0 mg,0.0 mg,1.1 g,0.0 g,1%,13%,0%,2%,5%,4%,3%,7%,0%,0%,4%,261.8 μg,333.2 mg,56.4 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Blackberries, raw",Fruit,1 cup (144 grams),62,2,0.7,6.2,7.6,2%,2%,3%,6%,8%,3%,2%,9%,0%,34%,0%,33%,24%,2%,0.0 mg,0.0 mg,0.1 g,135.4 mg,0.0 mg,0.0 mg,0.3 g,0.0 g,3%,26%,0%,5%,7%,40%,3%,5%,1%,0%,7%,354.2 μg,1520.6 mg,2.8 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Blueberries, raw",Fruit,1 cup (148 grams),84,1.1,0.5,17.9,3.6,0%,5%,5%,4%,4%,5%,12%,2%,0%,16%,0%,10%,24%,2%,0.0 mg,0.0 mg,0.1 g,85.8 mg,0.0 mg,0.0 mg,0.1 g,0.0 g,1%,9%,0%,2%,2%,22%,1%,2%,0%,0%,2%,165.8 μg,1422.3 mg,39.1 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
