,,,Basic Facts,,,,,Vitamins,,,,,,,,,,,,,,,,Healthy Fats,,,,,,Minerals,,,,,,,,,,,Phytonutrients,,,,,,AA and Peps,
Item,Category,Serving Size,Cals,Protein,Fats,Carbs,Fiber,Vit A,Vit B1,Vit B2,Vit B3,Vit B5,Vit B6,Vit B7,Vit B9,Vit B12,Vit C,Vit D,Vit E,Vit K,Choline,Myo-Inositol,CoQ10,MUFA,ALA,EPA+DHA,CLA,Lin Acid,MCTs,Ca,Cu,Io,Fe,Mg,Mn,P,K,Se,Na,Zn,Carotenoids,Polyphenols,Phytosterols,Glucosinolates,Thiosulfinates,Betalains,Taurine,Ergothionine
"Arugula, raw",Vegetable,2 cups (40 grams),10,1,0.3,0.8,0.6,5%,1%,3%,1%,3%,2%,0%,10%,0%,7%,0%,1%,36%,1%,0.0 mg,0.0 mg,0.0 g,68.0 mg,0.0 mg,0.0 mg,0.1 g,0.0 g,5%,3%,0%,3%,4%,6%,2%,3%,0%,0%,2%,1991.6 μg,54.6 mg,0.0 mg,39.2 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Cantaloupe, raw",Fruit,"1 cup, diced (160 grams)",54,1.3,0.3,11.6,1.4,30%,5%,2%,7%,3%,7%,5%,8%,0%,65%,0%,2%,3%,2%,0.0 mg,0.0 mg,0.0 g,73.6 mg,0.0 mg,0.0 mg,0.1 g,0.0 g,1%,7%,0%,2%,5%,3%,2%,9%,1%,1%,3%,3300.8 μg,198.4 mg,9.9 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Papaya, raw",Fruit,"1 cup, 1” pieces (145 grams)",62,0.7,0.4,20.3,2.5,8%,3%,3%,3%,6%,3%,1%,13%,0%,137%,0%,5%,3%,2%,11.6 mg,0.0 mg,0.1 g,68.2 mg,0.0 mg,0.0 mg,0.0 g,0.0 g,2%,7%,0%,2%,7%,3%,1%,6%,2%,1%,1%,4033.9 μg,230.6 mg,24.5 mg,53.7 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Pistachios, raw",Nut,1 ounce (palmful or 49 shelled),157,5.6,12.7,4.6,3,1%,20%,3%,2%,3%,28%,30%,4%,0%,2%,0%,48%,6%,4%,0.0 mg,0.6 mg,6.5 g,80.9 mg,0.0 mg,0.0 mg,3.9 g,0.0 g,2%,40%,0%,6%,8%,15%,11%,6%,4%,0%,6%,901.0 μg,464.0 mg,83.2 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.1 mg
"Shrimp, raw",Fish,4 ounces (115 grams),82,15.7,1.2,1,0,7%,2%,1%,13%,7%,11%,10%,5%,53%,0%,1%,11%,0%,17%,4.8 mg,0.3 mg,0.2 g,6.9 mg,158.7 mg,0.7 mg,0.1 g,0.0 g,5%,23%,161%,1%,6%,1%,22%,3%,62%,28%,10%,2070.0 μg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,178.5 mg,0.0 mg
"Trout, raw",Fish,4 ounces (115 grams),170,23.9,7.6,0,0,2%,34%,29%,32%,45%,14%,20%,4%,373%,1%,22%,2%,0%,14%,9.9 mg,1.3 mg,3.7 g,178.3 mg,839.5 mg,3.8 mg,0.2 g,0.0 g,4%,24%,19%,10%,6%,43%,23%,9%,26%,3%,7%,2875.0 μg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,69.0 mg,0.0 mg
"Apple (with skin), raw",Fruit,"1 cup, chopped (125 grams)",65,0.3,0.2,14.3,3,0%,2%,3%,1%,2%,3%,19%,1%,0%,6%,0%,2%,2%,1%,18.8 mg,0.2 mg,0.0 g,11.3 mg,0.0 mg,0.0 mg,0.1 g,0.0 g,1%,4%,0%,1%,1%,2%,1%,3%,0%,0%,0%,83.8 μg,537.5 mg,22.9 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Sweet cherries, raw",Fruit,"1 cup, whole (138 grams)",87,1.5,0.3,19.2,2.9,0%,3%,4%,1%,5%,4%,3%,1%,0%,11%,0%,1%,2%,2%,19.3 mg,0.0 mg,0.1 g,35.9 mg,0.0 mg,0.0 mg,0.0 g,0.0 g,1%,9%,0%,3%,4%,4%,2%,7%,0%,0%,1%,169.7 μg,467.8 mg,16.8 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Cranberries, raw",Fruit,"1 cup, whole (100 grams)",46,0.5,0.1,8.4,3.6,0%,1%,2%,1%,6%,3%,0%,0%,0%,16%,0%,11%,4%,1%,15.0 mg,0.0 mg,0.0 g,22.0 mg,0.0 mg,0.0 mg,0.0 g,0.0 g,1%,6%,0%,1%,1%,12%,1%,2%,0%,0%,1%,129.0 μg,350.5 mg,17.8 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Raspberries, raw",Fruit,1 cup (123 grams),64,1.5,0.8,6.7,8,0%,3%,4%,5%,8%,4%,8%,6%,0%,36%,0%,28%,8%,3%,0.0 mg,0.0 mg,0.1 g,155.0 mg,0.0 mg,0.0 mg,0.3 g,0.0 g,2%,12%,0%,5%,6%,36%,3%,4%,0%,0%,5%,201.7 μg,635.9 mg,33.7 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Strawberries, raw",Fruit,"1 cup, 13 medium (152 grams)",49,1,0.5,8.6,3,0%,3%,3%,4%,4%,4%,20%,9%,0%,99%,0%,4%,3%,2%,19.8 mg,0.1 mg,0.1 g,98.8 mg,0.0 mg,0.0 mg,0.1 g,0.0 g,2%,8%,0%,3%,5%,26%,3%,5%,1%,0%,2%,50.2 μg,674.0 mg,719.7 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Cocoa, unsweetened",Spice,1 ounce (28 grams),64,5.5,3.8,5.9,10.4,0%,2%,5%,4%,1%,2%,25%,2%,0%,0%,0%,0%,1%,1%,0.0 mg,0.0 mg,1.3 g,0.0 mg,0.0 mg,0.0 mg,0.1 g,0.0 g,3%,118%,0%,22%,33%,47%,16%,9%,7%,0%,17%,10.6 μg,2249.2 mg,28.9 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Plums, raw",Fruit,"1 cup, sliced or 3 small (165 grams)",76,1.2,0.5,16.5,2.3,3%,4%,3%,4%,4%,3%,1%,2%,0%,17%,0%,4%,9%,1%,49.5 mg,0.0 mg,0.2 g,0.0 mg,0.0 mg,0.0 mg,0.1 g,0.0 g,1%,10%,0%,2%,3%,4%,2%,6%,0%,0%,2%,491.7 μg,2310.0 mg,21.5 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Brazil nut, dried, unblanched",Nut,6 nuts (28 grams),185,4,18.8,1.2,2.1,0%,14%,1%,1%,1%,2%,9%,2%,0%,0%,0%,30%,0%,1%,0.0 mg,0.0 mg,6.7 g,10.1 mg,0.0 mg,0.0 mg,6.8 g,0.0 g,3%,54%,0%,4%,25%,15%,16%,4%,976%,0%,10%,0.0 μg,113.7 mg,36.7 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.1 mg
"Tea, black",Spice,1 cup (237 grams),2,0,0,0.7,0,0%,0%,3%,0%,1%,0%,2%,3%,0%,0%,0%,0%,0%,0%,0.1 mg,0.0 mg,0.0 g,7.1 mg,0.0 mg,0.0 mg,0.0 g,0.0 g,0%,3%,0%,0%,2%,23%,0%,2%,0%,0%,0%,0.0 μg,319.7 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Tea, green",Spice,1 cup (245 grams),2,0.5,0,0,0,0%,1%,11%,0%,0%,1%,7%,0%,0%,0%,0%,0%,0%,0%,0.1 mg,0.0 mg,0.0 g,0.0 mg,0.0 mg,0.0 mg,0.0 g,0.0 g,0%,1%,0%,0%,1%,20%,0%,0%,0%,0%,0%,0.0 μg,252.1 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Rhubarb, raw",Vegetable,"1 cup, diced (122 grams)",26,1.1,0.2,3.3,2.2,1%,2%,3%,2%,2%,2%,0%,2%,0%,11%,0%,2%,30%,1%,0.0 mg,0.0 mg,0.0 g,0.0 mg,0.0 mg,0.0 mg,0.1 g,0.0 g,8%,3%,0%,1%,3%,10%,1%,7%,2%,0%,1%,281.8 μg,325.3 mg,22.3 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
Sauerkraut,Vegetable,1 cup (142 grams),27,1.3,0.2,2,4.1,0%,2%,2%,1%,3%,11%,2%,9%,0%,23%,0%,1%,15%,3%,0.0 mg,0.0 mg,0.0 g,46.9 mg,0.0 mg,0.0 mg,0.0 g,0.0 g,3%,15%,0%,12%,4%,9%,2%,5%,2%,41%,2%,437.4 μg,119.0 mg,21.0 mg,12.9 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
"Turnip, raw",Vegetable,"1 cup, cubes (130 grams)",36,1.2,0.1,6,2.3,0%,4%,3%,3%,5%,7%,5%,5%,0%,30%,0%,0%,0%,3%,0.0 mg,0.0 mg,0.0 g,52.0 mg,0.0 mg,0.0 mg,0.0 g,0.0 g,3%,12%,0%,2%,3%,8%,3%,5%,2%,4%,3%,0.0 μg,117.0 mg,17.2 mg,344.5 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
Chicken of the woods,Mushroom,100 grams,33,14,1,6,3,5%,0%,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,0%,0%,0.0 mg,0.0 mg,0.0 g,0.0 mg,0.0 mg,0.0 mg,0.0 g,0.0 g,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,0%,0.0 μg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0.0 mg
